./images/2301.jpg: [35.311342000961304, 156.6804120540619]
./images/2308.jpg: [121.81895995140076, 157.35906887054443]
./images/im19_edit2.jpg: [23.749686002731323, 106.69062900543213]
./images/im14_edit1.jpg: [123.19060397148132, 602.3794300556183]
./images/im42_edit3.jpg: [33.95995497703552, 154.1887218952179]
./images/im19_edit2.jpg: [24.932267904281616, 112.77987313270569]
./images/im14_edit1.jpg: [127.35577893257141, 592.9295501708984]
./images/im42_edit3.jpg: [32.88913702964783, 154.1609709262848]
./images/5143.jpg: [82.46050095558167, 153.12706184387207]
./images/im21_edit1.jpg: [21.870081901550293, 52.660187005996704]
./images/im35_edit1.jpg: [44.17564606666565, 103.63901209831238]
./images/im42_edit2.jpg: [66.30320310592651, 154.4810380935669]
./images/im19_edit1.jpg: [89.33891105651855, 206.96515417099]
./images/2564.jpg: [66.21620988845825, 152.86091589927673]
./images/im14_edit2.jpg: [10.858870029449463, 103.02663803100586]
./images/im35_edit3.jpg: [66.31543207168579, 104.15668296813965]
./images/im38_edit1.jpg: [21.850120067596436, 51.52240586280823]
./images/im35_edit2.jpg: [21.998478889465332, 51.87286615371704]
./images/5544.jpg: [66.57494187355042, 155.21053814888]
./images/im42_edit1.jpg: [5.180021047592163, 51.434165954589844]
./images/2217.jpg: [33.187771797180176, 152.93942594528198]
./images/im27_edit1.jpg: [66.43121910095215, 206.60909700393677]
./images/im42_edit5.jpg: [21.930800914764404, 104.3388319015503]
./images/5781.jpg: [32.992151975631714, 153.07472205162048]
./images/im35_edit6.jpg: [33.19511795043945, 103.59223890304565]
./images/5193.jpg: [33.603930950164795, 157.59089708328247]
./images/5811.jpg: [16.37721014022827, 154.5015959739685]
./images/im33_edit1.jpg: [33.32856106758118, 104.63309693336487]
./images/5179.jpg: [16.343693017959595, 156.22095704078674]
./images/im12_edit1.jpg: [33.42541289329529, 157.46008706092834]
./images/im35_edit7.jpg: [21.942406177520752, 103.66034197807312]
./images/2574.jpg: [32.98178696632385, 155.09268498420715]
./images/im42_edit4.jpg: [22.1521999835968, 104.61742115020752]
./images/im27_edit2.jpg: [55.07514405250549, 101.97602415084839]
./images/im35_edit5.jpg: [22.484172105789185, 105.69977903366089]
./images/im12_edit3.jpg: [33.236011028289795, 102.788339138031]
./images/5609.jpg: [50.0367751121521, 155.291748046875]
./images/5813.jpg: [68.58441090583801, 160.0194239616394]
./images/im12_edit2.jpg: [69.99170517921448, 674.7810080051422]
./images/im35_edit4.jpg: [32.920905113220215, 103.63172698020935]
./images/2577.jpg: [32.68059492111206, 153.6866819858551]
./images/im31_edit11.jpg: [110.8266589641571, 207.73210501670837]
./images/im32_edit7.jpg: [21.836183071136475, 208.2986831665039]
./images/im7_edit6.jpg: [90.21897792816162, 205.68782591819763]
./images/5055.jpg: [16.341052055358887, 152.55096006393433]
./images/im18_edit2.jpg: [138.50132489204407, 266.542279958725]
./images/2882.jpg: [68.70188689231873, 155.82529211044312]
./images/2896.jpg: [103.03787302970886, 157.366868019104]
./images/im1_edit1.jpg: [16.60986304283142, 158.9795880317688]
./images/5492.jpg: [100.79816198348999, 156.1686098575592]
./images/im34_edit1.jpg: [22.445400953292847, 54.24123787879944]
./images/im32_edit6.jpg: [22.7728488445282, 219.68351793289185]
./images/im7_edit7.jpg: [44.677375078201294, 104.7347400188446]
./images/2908.jpg: [16.69770383834839, 156.08537697792053]
./images/im20_edit1.jpg: [22.156103134155273, 104.93745517730713]
./images/2511.jpg: [33.410686016082764, 154.52227592468262]
./images/im31_edit12.jpg: [50.55107808113098, 155.5837881565094]
./images/2705.jpg: [33.380033016204834, 156.1865940093994]
./images/im32_edit4.jpg: [33.23391580581665, 103.68193984031677]
./images/im15_edit2.jpg: [44.74644899368286, 215.70853209495544]
./images/im1_edit2.jpg: [35.25165104866028, 166.09441113471985]
./images/im1_edit3.jpg: [36.106943130493164, 160.1447479724884]
./images/5137.jpg: [16.365818977355957, 155.30890202522278]
./images/im7_edit4.jpg: [66.9157361984253, 155.85870504379272]
./images/im32_edit5.jpg: [16.564011096954346, 153.9642059803009]
./images/5731.jpg: [66.82038283348083, 156.04266214370728]
./images/im31_edit13.jpg: [50.23899292945862, 158.1765820980072]
./images/5537.jpg: [69.006667137146, 155.8181939125061]
./images/im32_edit1.jpg: [33.473551988601685, 156.53280901908875]
./images/2701.jpg: [33.55844306945801, 156.43757390975952]
./images/5046.jpg: [50.22333288192749, 156.06930899620056]
./images/im31_edit8.jpg: [5.186187982559204, 53.20893716812134]
./images/im13_edit1.jpg: [22.251633882522583, 52.237261056900024]
./images/im7_edit3.jpg: [89.78706312179565, 216.17672896385193]
./images/im32_edit2.jpg: [11.058646202087402, 107.16679096221924]
./images/2844.jpg: [33.31085801124573, 157.35906505584717]
./images/5656.jpg: [100.6283278465271, 156.88464093208313]
./images/5483.jpg: [16.368222951889038, 156.0060839653015]
./images/5482.jpg: [16.438596963882446, 156.5863320827484]
./images/im7_edit2.jpg: [91.75267100334167, 216.73349404335022]
./images/im32_edit3.jpg: [22.341492891311646, 54.62601184844971]
./images/im9_edit4.jpg: [33.44595980644226, 105.19106483459473]
./images/2525.jpg: [67.32391810417175, 158.14819383621216]
./images/im31_edit6.jpg: [122.5785219669342, 160.58228397369385]
./images/im37_edit1.jpg: [46.85192108154297, 213.74930500984192]
./images/2874.jpg: [67.21584606170654, 156.7225501537323]
